Title,Old Slug (ReadMe),New Slug (apidocs-aligned),Changed?
LSQ V2 APIs,,,
LSQ V2 APIs - README,lsq-v2-apis-readme,lsq-v2-apis-readme,No
Account (Company) Management,,,
Account/Company Management,account-company-management,account-company-management,No
Create an Account,create_an_account,create-an-account,Yes
Create or Update Accounts in Bulk,create_or_update_accounts_in_bulk,create-or-update-accounts-in-bulk,Yes
Get an Account,get_an_account,get-an-account,Yes
Update an Account,update_an_account,update-an-account,Yes
Delete an Account,delete_an_account,delete-an-account,Yes
Account Activity Management,,,
Account Activity Management,account-activity-management,account-activity-management,No
Post an Activity on an Account,post_an_activity_on_an_account,post-an-activity-on-an-account,Yes
Retrieve Account Activities by Account ID,retrieve_account_activities_by_account_id,retrieve-account-activities-by-account-id,Yes
Retrieve an Account Activity by Activity ID,retrieve_an_account_activity_by_activity_id,retrieve-an-account-activity-by-activity-id,Yes
Update an Account Activity,update_an_account_activity,update-an-account-activity,Yes
Activity Management,,,
Activity Management,activity-management,activity-management,No
Post an Activity on a Lead,post_an_activity_on_a_lead,post-an-activity-to-lead,Yes
Post Activities on Leads in Bulk Using Lead ID,post_activities_on_leads_in_bulk_using_lead_id,post-bulk-activities-on-leads,Yes
Post Activities on Leads in Bulk Using Unique Lead Fields,post_activities_on_leads_in_bulk_using_unique_lead_fields,post-activities-to-leads-in-bulk-using-unique-lead-fields,Yes
Create a Custom Activity Type,create_a_custom_activity_type,create-new-activity-type-api,Yes
Post an Activity with a Lead's Email Address,post_an_activity_with_a_lead_s_email_address,post-activity-with-lead-email-address,Yes
Attach a File to a Custom or Sales Activity,attach_a_file_to_a_custom_or_sales_activity,attach-a-file-to-activities,Yes
Get List of Activity Types,get_list_of_activity_types,get-list-of-activity-types,Yes
Get Activity Details,get_activity_details,get-activities-details-by-activity-id,Yes
Get Activity Type Details,get_activity_type_details,get-details-of-activity-type,Yes
Activity Advanced Search,activity_advanced_search,activity-advanced-search,Yes
Get Activities of a Lead,get_activities_of_a_lead,get-activities-of-a-lead,Yes
Get Activities by Date Range,get_activities_by_date_range,retrieve-prospect-activities,Yes
Get Activities by Activity Event,get_activities_by_activity_event,bulk-retrieve-activities-by-activity-event,Yes
Get Attachments of an Activity,get_attachments_of_an_activity,get-attachments-of-an-activity,Yes
Get Details of an Activity Owner,get_details_of_an_activity_owner,get-activity-owner-details,Yes
Get Details of the Lead Owner Associated with an Activity,get_details_of_the_lead_owner_associated_with_an_activity,get-details-of-a-lead-owner-associated-with-an-activity,Yes
Get Values of a Custom Activity Drop Down Field,get_values_of_a_custom_activity_drop_down_field,get-values-of-a-custom-activity-drop-down-field,Yes
Get Dependent Values of a Custom Activity Drop Down Field,get_dependent_values_of_a_custom_activity_drop_down_field,get-dependent-drop-down-values-of-a-custom-activity-field,Yes
Get Custom Fields of an Activity,get_custom_fields_of_an_activity,get-custom-fields-of-an-activity,Yes
Get Activity Change History,get_activity_change_history,get-activity-change-history,Yes
Get Activities by Lead Reference,get_activities_by_lead_reference,get-activities-by-lead-reference,Yes
Update an Activity,update_an_activity,update-activity,Yes
Update Activities in Bulk,update_activities_in_bulk,bulk-update-activities,Yes
Lock an Activity,lock_an_activity,lock-an-activity,Yes
Unlock Activity,unlock_activity,unlock-activity,Yes
Add Values to a Custom Activity Drop Down Field,add_values_to_a_custom_activity_drop_down_field,activity-push-field-options,Yes
Remove Values from a Custom Activity Drop Down Field,remove_values_from_a_custom_activity_drop_down_field,activity-pop-fields-options,Yes
Add Values to a Dependent Drop Down Activity Field,add_values_to_a_dependent_drop_down_activity_field,add-values-to-a-dependent-drop-down-activity-field,Yes
Remove Values from a Dependent Drop Down Activity Field,remove_values_from_a_dependent_drop_down_activity_field,remove-values-from-a-dependent-drop-down-activity-field,Yes
Delete an Activity Type,delete_an_activity_type,delete-activity-type,Yes
Delete Activities of a Lead,delete_activities_of_a_lead,delete-activities,Yes
Delete a Custom Activity,delete_a_custom_activity,delete-custom-activity,Yes
Create a Lead and Activity,create_a_lead_and_activity,create-lead-and-activity,Yes
Post an Activity on an Opportunity,post_an_activity_on_an_opportunity,post-an-activity-on-an-opportunity,Yes
Post Bulk Activities on Opportunities,post_bulk_activities_on_opportunities,post-bulk-activities-on-opportunities,Yes
Get Activities of an Opportunity,get_activities_of_an_opportunity,get-activities-of-an-opportunity,Yes
Custom Menus,,,
Custom Web App Menus,custom-menus,custom-web-app-menus,Yes
Create a Custom Web App Menu,create_a_custom_web_app_menu,create-a-custom-menu-in-the-web-app,Yes
Get a Custom Web App Menu,get_a_custom_web_app_menu,get-a-custom-custom-menu-for-the-web-app,Yes
Update a Custom Web App Menu,update_a_custom_web_app_menu,update-a-custom-custom-menu-for-the-web-app,Yes
Delete a Custom Web App Menu,delete_a_custom_web_app_menu,delete-a-custom-web-app-menu,Yes
Custom Tabs & Actions,,,
Custom Tabs and Actions,custom-tabs-actions,custom-tabs-actions,No
Create a Custom Tab,create_a_custom_tab,create-custom-tab,Yes
Create a Custom Action,create_a_custom_action,create-custom-action,Yes
Create a Custom Opportunity Tab,create_a_custom_opportunity_tab,create-a-custom-opportunity-tab,Yes
